data,produto,comissao_prevista,conversion_id,observacao
2026-09-09,Bolsa Maternidade Personalizada Primavera Mundo Encantado Menina,7.0962,260910KGMRWK3Q,Sub_id: MANGUEIRA0509
2026-09-09,PROGRESSIVA GLOSS QUIABO HIDRALIZE ou VIVANCE 1LITRO - ALINHAMENTO E HIDRATAÇÃO - LISO COMPLETO,3.9582,260909K0B4SF6T,Sub_id: RIPADO0509
2026-09-09,Banheira Bebe Suporte Almofada Dobrável Com Termometro Banho Premium,10.7958,260909JX31U0J6,Sub_id: TORNEIRA0709
2026-09-08,Porta Aliança Casamento Personalizado Acrílico Marmorizado Dourado Luxo Com Iniciais e Data Noivos,1.6812,260909H7BDM6RN,Sub_id: RIPADO0509
2026-09-07,Cabelo Cacheado Bio Orgânico Na Tela Maya Curly 300g 60cm,1.647,260908EG9VH6PX,Sub_id: RIPADO0509
2026-09-07,cabelo Jumbo hiper X 400 gramas para trança,0.5997,260908EG9VH6PW,Sub_id: RIPADO0509
2026-09-07,Kit 2 Perfurador Furador de Papel Alicate 1 Furo em Metal Aço Resistente MasterPrint,0.62955,260907EAPCKTDC,Sub_id: RIPADO0509
2026-09-09,Bolsa Maternidade Personalizada Primavera Mundo Encantado Menina,7.0962,242670712127647,Sincronizado via API
2026-09-09,PROGRESSIVA GLOSS QUIABO HIDRALIZE ou VIVANCE 1LITRO - ALINHAMENTO E HIDRATAÇÃO - LISO COMPLETO,3.9582,242653209159158,Sincronizado via API
2026-09-09,Banheira Bebe Suporte Almofada Dobrável Com Termometro Banho Premium,10.7958,242650790146273,Sincronizado via API
2026-09-08,Porta Aliança Casamento Personalizado Acrílico Marmorizado Dourado Luxo Com Iniciais e Data Noivos,1.6812,242592015131160,Sincronizado via API
2026-09-07,Cabelo Cacheado Bio Orgânico Na Tela Maya Curly 300g 60cm,1.647,242498548125683,Sincronizado via API
2026-09-07,Kit 2 Perfurador Furador de Papel Alicate 1 Furo em Metal Aço Resistente MasterPrint,0.62955,242492525188119,Sincronizado via API
